report_id,narrative,hf_label
1055,Weather required a short hold vectors were given and approach continued uneventfully.,0
1056,During approach the crew reported fatigue after extended duty time and miscommunication with ATC.,1
1057,Autopilot disconnected due to mild turbulence system performed as expected.,0
1058,During approach the crew reported fatigue after extended duty time and miscommunication with ATC.,1
1059,Weather required a short hold vectors were given and approach continued uneventfully.,0
1060,Captain and FO had a misunderstanding about checklist items which delayed configuring for landing.,1
1061,Runway lights were briefly dim no operational impact noted.,0
1062,ATC phraseology was unclear and the crew requested repeat which increased workload in busy airspace.,1
1063,Bird strike noted on left wing leading edge with minor damage no injuries reported.,0
1064,ATC phraseology was unclear and the crew requested repeat which increased workload in busy airspace.,1
1065,Maintenance discovered a worn tire during routine inspection and replaced it per manual.,0
1066,First officer was task saturated during departure and missed a callout.,1
1067,During taxi a small piece of FOD was observed near the centerline and removed without further issue.,0
1068,During approach the crew reported fatigue after extended duty time and miscommunication with ATC.,1
1069,Runway lights were briefly dim no operational impact noted.,0
1070,Pilot experienced high workload and distraction while programming the FMS leading to altitude deviation.,1
1071,Bird strike noted on left wing leading edge with minor damage no injuries reported.,0
1072,During approach the crew reported fatigue after extended duty time and miscommunication with ATC.,1
1073,Maintenance discovered a worn tire during routine inspection and replaced it per manual.,0
1074,During approach the crew reported fatigue after extended duty time and miscommunication with ATC.,1
1075,Autopilot disconnected due to mild turbulence system performed as expected.,0
1076,Captain and FO had a misunderstanding about checklist items which delayed configuring for landing.,1
1077,Autopilot disconnected due to mild turbulence system performed as expected.,0
1078,First officer was task saturated during departure and missed a callout.,1
1079,Bird strike noted on left wing leading edge with minor damage no injuries reported.,0
1080,Pilot experienced high workload and distraction while programming the FMS leading to altitude deviation.,1
1081,Bird strike noted on left wing leading edge with minor damage no injuries reported.,0
1082,Captain and FO had a misunderstanding about checklist items which delayed configuring for landing.,1
1083,Maintenance discovered a worn tire during routine inspection and replaced it per manual.,0
1084,First officer was task saturated during departure and missed a callout.,1
1085,Bird strike noted on left wing leading edge with minor damage no injuries reported.,0
1086,First officer was task saturated during departure and missed a callout.,1
1087,Runway lights were briefly dim no operational impact noted.,0
1088,First officer was task saturated during departure and missed a callout.,1
1089,During taxi a small piece of FOD was observed near the centerline and removed without further issue.,0
1090,ATC phraseology was unclear and the crew requested repeat which increased workload in busy airspace.,1
1091,Runway lights were briefly dim no operational impact noted.,0
1092,Pilot experienced high workload and distraction while programming the FMS leading to altitude deviation.,1
1093,Weather required a short hold vectors were given and approach continued uneventfully.,0
1094,First officer was task saturated during departure and missed a callout.,1
1095,Maintenance discovered a worn tire during routine inspection and replaced it per manual.,0
1096,Pilot experienced high workload and distraction while programming the FMS leading to altitude deviation.,1
1097,Autopilot disconnected due to mild turbulence system performed as expected.,0
1098,Ground crew reported time pressure and coordination issues causing a near pushback incident.,1
1099,Bird strike noted on left wing leading edge with minor damage no injuries reported.,0
